id,success,miss_distance,flight_time,range_init,target_speed,m_type,m_intensity,failure_mode,v_final
0,True,0.99,11.38,4648.406674692028,136.40269344285883,Weaving,3.2448272706540355,Success,219.35101616785423
1,True,1.96,27.33,4192.472629335103,108.6937722414161,Virage,2.5943816735311565,Success,65.5939421629982
2,True,0.95,5.56,2053.057737618534,95.5344616866501,Rectiligne,0.0,Success,287.27293992669394
3,True,1.08,10.57,3073.089388932055,54.364729909730194,Weaving,4.434226707694631,Success,256.2960911499338
4,False,74.13,60.0,4193.3639826929975,53.70196113455762,Virage,5.478801253448862,Kinetic Exhaustion,28.491533003620066
5,True,1.24,7.345,2481.377943968047,122.24438275706426,Virage,2.6174448750861954,Success,289.76744712749
6,True,1.99,14.365,4861.416337583977,114.98366525792726,Weaving,4.5780265525048,Success,149.78566402023554
7,True,1.64,18.56,3734.2284135034233,53.589909983768656,Virage,5.683716395121187,Success,90.13817244597857
8,False,80.39,60.0,3860.4486503206713,113.37478287807913,Virage,4.776004651172938,Kinetic Exhaustion,0.541130706958948
9,True,1.43,2.295,706.9593590474574,87.48410897753149,Virage,4.263712247663747,Success,325.20373528926325
10,True,1.91,5.75,1264.9264208064383,111.97103685374154,Weaving,2.4293531603855287,Success,292.5280390466978
11,True,1.9,4.285,1648.9701867161932,140.12094235988832,Rectiligne,0.0,Success,290.2355381479854
12,True,1.33,5.735,2055.0453099938677,92.43089384608976,Weaving,2.597650997326677,Success,285.51488704791325
13,True,0.38,3.865,1567.4256586740858,149.26920436268975,Weaving,3.974689447786042,Success,290.19133798334263
14,True,1.16,9.355,3586.097717303054,110.64064930764745,Weaving,2.8585824543775833,Success,286.5293407605147
15,True,1.83,8.98,2085.4443012589245,117.77644586233595,Virage,5.353348467850067,Success,286.94743725063864
16,True,0.85,12.87,4565.316668328355,94.08231901628116,Weaving,2.270400127238657,Success,179.4647190297013
17,False,2.52,6.48,1290.3803169993798,147.148958121134,Weaving,4.491417858702192,Ground Collision,291.6835305582163
18,True,1.54,7.385,2668.3152344318355,83.87152538018863,Weaving,2.422271045017648,Success,288.606344444943
19,True,0.53,9.2,3758.9752043398316,130.4587644020562,Weaving,2.0417559653027038,Success,288.49271556985036
20,True,0.6,8.845,3527.7277184318914,132.24173012267744,Rectiligne,0.0,Success,285.8070912882538
21,False,594.57,60.0,612.6109234091705,141.52559087431592,Rectiligne,0.0,Maneuver Saturation,119.69422910925542
22,True,1.53,14.98,4592.244372925514,63.977701250722106,Rectiligne,0.0,Success,148.13553748189486
23,True,0.64,3.96,937.3639937981972,95.36437568888925,Weaving,4.837922257338296,Success,285.9528474270157
24,True,0.7,3.875,1195.3530608442575,98.93470377896145,Weaving,2.0981488605651406,Success,296.54495927676186
25,True,1.06,13.025,4777.4982643314215,118.56802654812853,Weaving,3.0760215236369537,Success,170.88975846032938
26,False,178.29,60.0,1049.718735892687,116.2768738061978,Virage,2.0854298189454825,Kinetic Exhaustion,0.09923841257744631
27,True,1.21,6.53,1596.0600372381064,56.86101528243559,Rectiligne,0.0,Success,291.4215557600761
28,True,1.35,10.755,4413.629420462951,140.05310356317582,Weaving,2.434063940961524,Success,243.12656382570435
29,True,0.83,4.965,1285.2370440562706,51.486032723070885,Rectiligne,0.0,Success,282.0574371539135
30,True,1.4,5.07,1284.1079063277973,102.60855265978671,Virage,5.112068157256811,Success,288.36218772622044
31,True,0.69,3.345,990.7430450173049,54.33650368991717,Weaving,3.5643536441392523,Success,295.8171152616643
32,False,24.22,59.1,773.7143337252762,118.60974960622328,Weaving,2.2204721472993514,Ground Collision,112.45829646416304
33,True,0.63,3.12,795.5700499405126,104.83564340483605,Weaving,3.5916705122939736,Success,303.3801394468682
34,True,0.91,2.715,946.303077555689,115.09166648813054,Weaving,2.645069198982491,Success,305.37822242729914
35,True,1.29,8.095,2025.1922847582885,59.50858392756309,Virage,3.4972040937421474,Success,283.9174326608687
36,True,1.57,16.145,4653.4326608047295,59.32301017036774,Weaving,4.435307855832177,Success,121.06082047258467
37,True,1.11,8.8,3027.138862964326,85.35980796337677,Weaving,4.604276446607194,Success,287.56611130098514
38,True,0.63,9.855,3201.845410511047,71.2738805672006,Rectiligne,0.0,Success,289.64956860181184
39,True,1.58,12.17,4304.180383706052,107.41000043314627,Weaving,4.923639806377125,Success,189.5926693689949
40,True,1.11,8.95,3392.146237234241,132.9460789959663,Rectiligne,0.0,Success,288.0262172000572
41,True,1.13,5.455,1890.4310997345956,136.98627065364383,Virage,2.5674986166050746,Success,290.8555119233799
42,True,0.5,2.105,637.9569427140766,91.98324937645032,Rectiligne,0.0,Success,327.70098370656143
43,True,1.94,17.81,3995.7602898503346,55.260882642552176,Virage,4.695874842452453,Success,114.29117203453069
44,True,1.26,9.92,3478.7241176371754,77.31668443647695,Rectiligne,0.0,Success,284.8466134530294
45,True,1.94,4.905,1774.609115362022,116.71325587363496,Rectiligne,0.0,Success,285.1204990080449
46,True,1.51,2.74,534.591886549473,63.7234805257327,Rectiligne,0.0,Success,310.70780664096975
47,True,0.72,10.545,3861.563555433955,120.36712633826636,Weaving,4.418600559700291,Success,251.15214876346664
48,False,871.84,7.725,690.3601770325612,136.21100136120663,Virage,4.837995846275737,Ground Collision,291.48260393519433
49,True,1.73,3.785,1018.2801769870921,130.1322154310452,Weaving,4.759309255224154,Success,295.1855635125718
50,True,1.67,4.665,1594.9241367023014,89.5766696859333,Rectiligne,0.0,Success,292.9522634042916
51,True,1.07,3.66,1256.5971862055897,100.99520623229719,Rectiligne,0.0,Success,289.29811451067695
52,True,1.88,25.065,4185.268706861834,64.64442182776943,Virage,5.040861182187568,Success,71.52871117487
53,True,1.49,4.785,1297.1575802625312,125.44458252469857,Virage,5.696617033542637,Success,287.96440071358444
54,True,1.06,8.66,3358.8424357726703,112.72174068997718,Rectiligne,0.0,Success,286.784496404106
55,True,1.97,5.335,1862.6919581255581,100.73368852897781,Virage,2.2275602033358095,Success,288.15130997223906
56,True,1.73,2.475,845.2895052805475,111.50083884155737,Virage,4.217265485353216,Success,315.0543631787111
57,False,376.63,60.0,4531.445445005612,115.18374546486099,Virage,2.603444306782554,Kinetic Exhaustion,0.09562459587615757
58,False,426.95,60.0,965.7584477167622,121.43155491674626,Rectiligne,0.0,Maneuver Saturation,117.68739154576588
59,True,0.81,7.355,2469.9122343915483,65.87462079815414,Rectiligne,0.0,Success,284.20471993777545
60,True,0.84,5.43,2022.652160786388,114.73053569693069,Rectiligne,0.0,Success,285.0608499497629
61,True,1.24,4.38,1778.6613824515118,140.63426971636773,Rectiligne,0.0,Success,289.869961700191
62,True,1.29,3.805,1136.4277126294303,119.8479962811881,Virage,5.752008798263043,Success,294.63563792466647
63,True,1.9,6.705,2195.0568772533506,117.01163999947225,Weaving,4.056243320832729,Success,282.59839866626197
64,True,1.03,7.42,2405.3286484494665,68.02629228768447,Weaving,3.458812762618182,Success,288.6223598943488
65,True,1.68,6.045,847.2428793539434,127.0874720363101,Weaving,2.1132424770726836,Success,281.9637511087376
66,True,1.22,3.725,1089.7206864327861,133.13450566891254,Weaving,2.496617497232176,Success,298.2192964997051
67,True,1.28,14.165,3543.633149848398,78.49279325633583,Virage,4.1360445987930445,Success,153.54278622900446
68,True,0.92,12.75,4138.807419908539,86.78409582250328,Weaving,3.3850399353229674,Success,177.45390042435446
69,True,1.14,8.045,2873.569048076672,130.12592241515478,Rectiligne,0.0,Success,283.70627635726555
70,True,1.6,10.84,4433.526252735066,134.58922767334383,Rectiligne,0.0,Success,243.55699480781163
71,True,0.52,4.855,1727.5608481611048,93.74725601949808,Rectiligne,0.0,Success,288.33424725451204
72,True,0.83,6.335,2073.13285162392,100.20071146932355,Weaving,3.124738020253303,Success,288.6025507084841
73,True,1.6,14.735,4276.293294252226,63.75995877258717,Weaving,4.088215965727951,Success,151.91564786674945
74,True,1.18,11.06,2518.7066329201098,75.59239284370447,Virage,4.908939141299728,Success,238.04587347687203
75,True,0.59,3.68,1000.3408714590728,54.77494466188513,Weaving,3.371340849909346,Success,295.42483025003713
76,True,1.84,15.575,3185.3256926852614,74.19381344209933,Virage,4.459238331103803,Success,147.26146525971845
77,True,1.82,7.185,2374.554178438429,147.46544909522217,Virage,4.029310786319146,Success,283.70969976053885
78,True,0.87,8.51,2993.68378588188,113.567079146863,Rectiligne,0.0,Success,290.54117359225864
79,True,0.77,11.43,4048.340073257819,112.82569624756565,Weaving,2.9975558251159544,Success,212.77704473326128
80,False,456.71,43.63,4160.789895002397,96.46228997470376,Virage,5.245990727390426,Kinetic Exhaustion,76.73781621329051
81,True,1.04,12.93,3992.856798665398,54.380627565912306,Rectiligne,0.0,Success,168.56184476029756
82,True,1.04,7.96,2819.2261516452445,75.33137652026174,Rectiligne,0.0,Success,289.00720951595656
83,True,1.96,13.165,4013.7870514029123,62.447500824438336,Weaving,4.229923116558863,Success,166.20491389663852
84,True,1.62,12.96,4881.756129418891,142.43104666269636,Weaving,4.181243973027907,Success,172.93595567497883
85,True,1.15,12.92,4200.5357579294905,58.00689110749953,Rectiligne,0.0,Success,178.27797313492061
86,True,0.74,7.345,2417.5223279737047,54.23551628501295,Rectiligne,0.0,Success,286.73372327350404
87,True,1.95,5.2,1735.499120336859,57.504116498815925,Rectiligne,0.0,Success,290.9509619077303
88,True,1.17,9.19,3557.3477351661045,110.75729033208553,Rectiligne,0.0,Success,288.0466719779701
89,False,829.41,60.0,4003.3191807808944,106.72446417241196,Virage,5.795294117062226,Kinetic Exhaustion,38.54113158715398
90,True,0.82,10.805,3933.880123093608,89.803404595245,Rectiligne,0.0,Success,242.18229122187975
91,True,1.31,10.285,3810.5368676574244,106.1672710759647,Rectiligne,0.0,Success,265.6345733368644
92,True,0.83,14.11,4983.643004696423,99.1200195254224,Weaving,3.356128055736192,Success,153.28597834170722
93,True,1.49,3.085,895.0583349712898,81.95877720999701,Rectiligne,0.0,Success,295.04418648384456
94,True,0.81,11.55,4510.9925705925,142.7324456723178,Weaving,3.5262672355229023,Success,214.93778938471775
95,True,0.73,5.115,1124.9459241726458,105.4021437259595,Weaving,3.6549408017792824,Success,280.37080907429333
96,True,0.57,8.16,1891.8082288780797,102.56956548303,Weaving,2.221252138733717,Success,281.0181145207688
97,True,1.13,7.45,2524.8852304834822,137.79601516504118,Virage,2.7278525462085494,Success,287.31356021960494
98,True,1.93,7.185,2446.7822891688866,62.41611206390122,Rectiligne,0.0,Success,289.7496816813631
99,True,0.99,8.945,3691.9945963816062,139.49259168211245,Rectiligne,0.0,Success,285.3726403573697
