success,miss,time,range,v_target,m_type,m_intensity,fail_mode,v_final
False,8.56,2.985,612.5483985020012,123.64712141640123,Weaving,2.3477553305176646,Seeker Lost (FOR),306.3589715436994
True,1.36,6.67,1483.870886616215,69.88376506866484,Virage,3.32264373224418,Success,282.31207170727953
True,1.4,10.985,4142.43705505022,119.81393949882269,Rectiligne,0.0,Success,237.07367364627132
True,1.94,7.39,2014.6754530068204,134.74943663474596,Weaving,4.918927146775271,Success,291.6280732124939
True,1.58,9.525,2203.4046974375906,111.85197523642461,Virage,6.227431017289541,Success,289.57188375870163
True,0.93,4.785,1525.5422404319609,73.27908863610301,Rectiligne,0.0,Success,282.87569906313416
True,0.87,8.175,2141.744805365379,76.69778220491133,Virage,5.654786034001929,Success,288.35063485188203
True,1.8,17.395,3781.0705907765714,148.95233506365952,Virage,6.107685505939248,Success,108.8980488072139
True,1.96,11.845,3991.9996019581017,81.54530480590819,Rectiligne,0.0,Success,210.42771497985566
False,144.12,21.965,4443.65431912701,89.56319010606643,Virage,3.5892809989883148,Seeker Lost (FOR),97.06046508995937
True,0.93,7.29,3026.1566037341786,139.7822883602477,Rectiligne,0.0,Success,285.0193001511045
True,1.7,10.775,2792.86832154409,60.96491303506592,Weaving,3.688639867198736,Success,249.4426375222445
True,0.81,12.41,4982.546211080436,136.07797022344982,Weaving,4.7268414761063,Success,187.42275321929952
True,1.23,9.465,3384.3280936091364,95.37237063292065,Weaving,3.053556203004363,Success,285.3777497550493
True,1.21,13.07,4606.825277051692,113.89494948660052,Rectiligne,0.0,Success,164.98215208274686
True,1.13,8.865,2927.2056355383156,50.05718961279435,Rectiligne,0.0,Success,288.078996551202
True,1.5,14.7,4454.248450204329,55.79251664941876,Weaving,2.342613808271515,Success,150.43158564792333
True,0.98,11.545,3922.709743657542,97.52823780987313,Rectiligne,0.0,Success,208.8280924956636
True,0.16,7.205,2404.120730903991,122.99310690899762,Rectiligne,0.0,Success,290.9593085629896
True,0.9,10.595,3424.4512593775407,62.100419586826575,Rectiligne,0.0,Success,257.18483012689325
True,1.79,4.98,1535.5162966845965,113.11029572700988,Weaving,5.438541601014986,Success,290.5239790944593
True,1.22,14.755,3510.400002333263,143.55142405806708,Virage,6.70771654574452,Success,139.38666947515338
True,1.28,6.015,1356.8446146284496,92.35786230199207,Weaving,4.693458189173207,Success,292.335200279471
True,1.83,9.055,2311.795769460209,74.86563339202857,Virage,4.531289839006425,Success,283.65428833148707
True,0.9,5.765,1624.1290154694523,136.13491047618305,Rectiligne,0.0,Success,280.8932539256882
False,727.79,16.78,4262.1241328597835,134.86957344143053,Virage,3.2824837951950903,Seeker Lost (FOR),124.47008203096381
True,0.79,2.655,763.8592998748052,76.52030581721519,Virage,4.5380449159409775,Success,307.1267707311711
True,1.57,16.62,4979.402102717212,65.47968252740641,Weaving,4.316721163265025,Success,131.17927731901594
True,0.26,2.26,757.2437280836739,135.27198920482851,Weaving,2.3204458609623475,Success,326.7138989652741
True,0.85,16.725,3538.4564912184055,139.02873141294376,Virage,5.716289061992619,Success,123.36558183960668
True,0.97,9.01,3126.5253018105113,70.42591994235364,Rectiligne,0.0,Success,285.7702907436911
True,1.96,12.805,3522.6060033198705,125.18644924144022,Virage,7.990726645126654,Success,178.85477472286658
False,1703.31,0.0,829.6732449483485,143.3259377993709,Weaving,3.478108354955536,Seeker Lost (FOR),99.99999999999999
True,1.04,9.385,3665.9296628931693,115.39763177107326,Weaving,3.1975150087999116,Success,288.9119733445023
True,1.66,7.585,1104.3100147701548,105.32236408848159,Virage,6.305673122832788,Success,290.0187022903904
True,1.88,8.14,3354.070814982859,140.53364910793232,Rectiligne,0.0,Success,284.51016016825304
True,1.95,5.22,1745.0610078751324,113.71133773013796,Weaving,4.206721684505565,Success,290.13868004516564
False,1859.38,0.0,838.5973703319517,104.55902892055224,Virage,2.888562713404896,Seeker Lost (FOR),100.0
True,0.48,6.93,1887.1625746856016,136.07025820009028,Rectiligne,0.0,Success,280.4638904795852
True,1.84,4.635,962.5712975230354,90.63773898321168,Rectiligne,0.0,Success,281.3223613850091
True,0.95,10.56,4390.725632989837,138.14162046633243,Weaving,3.3287418717857147,Success,257.8716613189342
True,1.16,10.99,4388.288127688757,128.7374509135471,Weaving,5.4343730053511266,Success,238.69965603158732
True,1.62,8.05,2571.3645560552395,72.75954874077703,Rectiligne,0.0,Success,289.7419974794885
True,1.66,12.205,4389.588239136288,114.14817386076277,Weaving,4.144862929914888,Success,190.36805594094506
False,177.21,27.26,4866.802749600026,76.54663625229686,Virage,6.371270363916226,Seeker Lost (FOR),56.64652376585188
True,1.56,8.49,3227.9398398776448,107.65880434965996,Weaving,2.006765112874518,Success,284.9172149658849
True,1.38,15.045,3737.4349961518046,86.42214717812641,Virage,3.981200216255578,Success,136.9381455302566
False,239.62,20.345,4316.06875777851,80.92846622086532,Virage,3.773931215155682,Seeker Lost (FOR),79.4042739649556
True,1.55,7.755,2392.008501978087,140.28055457325826,Rectiligne,0.0,Success,281.2047859822738
False,8.38,2.445,501.82672863779385,107.9984781195682,Virage,4.6529587958288445,Seeker Lost (FOR),319.0119342719841
True,1.94,10.715,2629.337836591968,66.96913961980547,Virage,5.797645134594775,Success,245.1145301303525
True,0.82,12.73,4182.905590414989,72.46406659972882,Rectiligne,0.0,Success,177.04707763022694
True,1.82,8.195,2638.113548984623,91.44410109977193,Rectiligne,0.0,Success,283.0192023487375
True,1.02,8.945,2724.6972605469664,50.55448181380318,Weaving,2.4263491862541557,Success,288.4762811350296
False,372.49,25.355,4810.847190257929,74.91982796599717,Virage,6.808499610333587,Seeker Lost (FOR),53.30460138804389
True,1.51,12.135,4945.516038799016,139.1425925810437,Weaving,4.019112659297608,Success,199.09349472929716
False,387.23,20.07,4537.43646454968,75.91915484650194,Virage,6.594882105782993,Seeker Lost (FOR),89.05752257766457
True,0.6,9.41,3320.367966418016,78.57281508631525,Rectiligne,0.0,Success,286.8504290069959
True,1.59,3.795,1122.683276822701,120.64191416945522,Virage,5.2556668430234925,Success,294.6420604966772
True,1.91,4.03,1430.7547528148461,108.40794142042252,Weaving,5.062378304472277,Success,289.9381398025857
True,1.38,6.95,2082.914612023211,145.34303384701064,Weaving,4.184529238935356,Success,279.88287244016215
True,1.75,5.185,1487.3973557964628,83.61295436983823,Virage,2.990268387221053,Success,284.4084634175141
